director,revenue,title
Jennifer Finnigan,45000.0,The Opposite Sex
Travis Cluff,42664410.0,The Gallows
Chris Lofing,42664410.0,The Gallows
Duke Johnson,5659286.0,Anomalisa
Charlie Kaufman,5659286.0,Anomalisa
Joel Coen,63647656.0,"Hail, Caesar!"
Ethan Coen,63647656.0,"Hail, Caesar!"
Jennifer Yuh Nelson,521170825.0,Kung Fu Panda 3
Alessandro Carloni,521170825.0,Kung Fu Panda 3
Andrew Erwin,14394097.0,Woodlawn
Jon Erwin,14394097.0,Woodlawn
F. Richard Jones,8000000.0,Mickey
James Young,8000000.0,Mickey
Byron Howard,1023784195.0,Zootopia
Rich Moore,1023784195.0,Zootopia
Jared Bush,1023784195.0,Zootopia
Glenn Ficarra,23083334.0,Whiskey Tango Foxtrot
John Requa,23083334.0,Whiskey Tango Foxtrot
Andrew Stanton,1028570889.0,Finding Dory
Angus MacLane,1028570889.0,Finding Dory
Fergal Reilly,349779543.0,The Angry Birds Movie
Clay Kaytis,349779543.0,The Angry Birds Movie
Jericca Cleland,8821329.0,Ratchet & Clank
Kevin Munroe,8821329.0,Ratchet & Clank
Conrad Vernon,140705322.0,Sausage Party
Greg Tiernan,140705322.0,Sausage Party
Dan Kwan,4210454.0,Swiss Army Man
Daniel Scheinert,4210454.0,Swiss Army Man
Mike Thurmeier,408579038.0,Ice Age: Collision Course
Galen T. Chu,408579038.0,Ice Age: Collision Course
Henry Joost,85241496.0,Nerve
Ariel Schulman,85241496.0,Nerve
Jon Lucas,183936074.0,Bad Moms
Scott Moore,183936074.0,Bad Moms
Doug Sweetland,182379278.0,Storks
Nicholas Stoller,182379278.0,Storks
Mike Mitchell,346864462.0,Trolls
Walt Dohrn,346864462.0,Trolls
Ron Clements,643034466.0,Moana
John Musker,643034466.0,Moana
Josh Gordon,114501299.0,Office Christmas Party
Will Speck,114501299.0,Office Christmas Party
Kyle Lawrence,10474.0,Logan
Caleb Doyle,10474.0,Logan
Eric Summer,2351359.0,Ballerina
Éric Warin,2351359.0,Ballerina
Kyle Balda,1020063384.0,Despicable Me 3
Pierre Coffin,1020063384.0,Despicable Me 3
