director,revenue,title
Don Bluth,27100027.0,All Dogs Go to Heaven
Dan Kuenster,27100027.0,All Dogs Go to Heaven
Jim Henson,40577001.0,The Dark Crystal
Frank Oz,40577001.0,The Dark Crystal
Eric Darnell,171757863.0,Antz
Tim Johnson,171757863.0,Antz
Norton Virgien,100491683.0,The Rugrats Movie
Igor Kovalyov,100491683.0,The Rugrats Movie
Merian C. Cooper,10000000.0,King Kong
Ernest B. Schoedsack,10000000.0,King Kong
Brenda Chapman,218613188.0,The Prince of Egypt
Steve Hickner,218613188.0,The Prince of Egypt
Simon Wells,218613188.0,The Prince of Egypt
Lana Wachowski,463517383.0,The Matrix
Lilly Wachowski,463517383.0,The Matrix
Andrew Solt,2091037.0,It Came from Hollywood
Malcolm Leo,2091037.0,It Came from Hollywood
Kevin Lima,448000000.0,Tarzan
Chris Buck,448000000.0,Tarzan
Chris Weitz,235483004.0,American Pie
Paul Weitz,235483004.0,American Pie
Daniel Myrick,248000000.0,The Blair Witch Project
Eduardo Sánchez,248000000.0,The Blair Witch Project
Don Taylor,26518355.0,Damien: Omen II
Mike Hodges,26518355.0,Damien: Omen II
Jim Abrahams,83453539.0,Airplane!
David Zucker,83453539.0,Airplane!
Jerry Zucker,83453539.0,Airplane!
Tinto Brass,23438120.0,Caligula
Bob Guccione,23438120.0,Caligula
Giancarlo Lui,23438120.0,Caligula
Gary Goldman,11373501.0,Thumbelina
Don Bluth,11373501.0,Thumbelina
William Beaudine,966878.0,Sparrows
Tom McNamara,966878.0,Sparrows
Jennifer Wynne Farmer,10508.0,Naturally Native
Valerie Red-Horse,10508.0,Naturally Native
Bernhard Wicki,50100000.0,The Longest Day
Ken Annakin,50100000.0,The Longest Day
Andrew Marton,50100000.0,The Longest Day
Richard Fleischer,29548291.0,Tora! Tora! Tora!
Kinji Fukasaku,29548291.0,Tora! Tora! Tora!
Toshio Masuda,29548291.0,Tora! Tora! Tora!
James Algar,90874570.0,Fantasia 2000
Don Hahn,90874570.0,Fantasia 2000
Gaëtan Brizzi,90874570.0,Fantasia 2000
Paul Brizzi,90874570.0,Fantasia 2000
Eric Goldberg,90874570.0,Fantasia 2000
Hendel Butoy,90874570.0,Fantasia 2000
Francis Glebas,90874570.0,Fantasia 2000
Pixote Hunt,90874570.0,Fantasia 2000
Walter Hill,14828081.0,Supernova
Jack Sholder,14828081.0,Supernova
Bruce Timm,5617391.0,Batman: Mask of the Phantasm
Eric Radomski,5617391.0,Batman: Mask of the Phantasm
Don Michael Paul,76432727.0,The Road to El Dorado
Bibo Bergeron,76432727.0,The Road to El Dorado
Martin Davidson,4000000.0,The Lords of Flatbush
Stephen Verona,4000000.0,The Lords of Flatbush
Ralph Zondag,354248063.0,Dinosaur
Eric Leighton,354248063.0,Dinosaur
George Miller,36230219.0,Mad Max Beyond Thunderdome
George Ogilvie,36230219.0,Mad Max Beyond Thunderdome
Gary Goldman,36754634.0,Titan A.E.
Don Bluth,36754634.0,Titan A.E.
Nick Park,224834564.0,Chicken Run
Peter Lord,224834564.0,Chicken Run
Bobby Farrelly,149270999.0,"Me, Myself & Irene"
Peter Farrelly,149270999.0,"Me, Myself & Irene"
Andrew Adamson,484409218.0,Shrek
Vicky Jenson,484409218.0,Shrek
Gary Trousdale,186053725.0,Atlantis: The Lost Empire
Kirk Wise,186053725.0,Atlantis: The Lost Empire
Hironobu Sakaguchi,85131830.0,Final Fantasy: The Spirits Within
Motonori Sakakibara,85131830.0,Final Fantasy: The Spirits Within
Jean-Claude Van Damme,14697005.0,Kickboxer
David Worth,14697005.0,Kickboxer
Mark DiSalle,14697005.0,Kickboxer
Andrei Konchalovsky,63408614.0,Tango & Cash
Albert Magnoli,63408614.0,Tango & Cash
Bobby Farrelly,13596911.0,Osmosis Jones
Peter Farrelly,13596911.0,Osmosis Jones
Albert Hughes,74558115.0,From Hell
Allen Hughes,74558115.0,From Hell
Bobby Farrelly,141069860.0,Shallow Hal
Peter Farrelly,141069860.0,Shallow Hal
Brendan Malloy,14782676.0,Out Cold
Emmett Malloy,14782676.0,Out Cold
Robin Budd,109862682.0,Return to Never Land
Donovan Cook,109862682.0,Return to Never Land
Gary Goldman,71368.0,A Troll in Central Park
Don Bluth,71368.0,A Troll in Central Park
Chris Weitz,129000000.0,About a Boy
Paul Weitz,129000000.0,About a Boy
Kelly Asbury,122563539.0,Spirit: Stallion of the Cimarron
Lorna Cook,122563539.0,Spirit: Stallion of the Cimarron
Dean DeBlois,145771527.0,Lilo & Stitch
Chris Sanders,145771527.0,Lilo & Stitch
Nanette Burstein,1434436.0,The Kid Stays in the Picture
Brett Morgen,1434436.0,The Kid Stays in the Picture
Jerry Zucker,20458340.0,Top Secret!
Jim Abrahams,20458340.0,Top Secret!
David Zucker,20458340.0,Top Secret!
Louis Leterrier,43928932.0,The Transporter
Corey Yuen Kwai,43928932.0,The Transporter
Brian Koppelman,12000000.0,Knockaround Guys
David Levien,12000000.0,Knockaround Guys
John Huston,41744718.0,Casino Royale
Robert Parrish,41744718.0,Casino Royale
Val Guest,41744718.0,Casino Royale
Joseph McGrath,41744718.0,Casino Royale
Ken Hughes,41744718.0,Casino Royale
Ron Clements,109578115.0,Treasure Planet
John Musker,109578115.0,Treasure Planet
Lilly Wachowski,738599701.0,The Matrix Reloaded
Lana Wachowski,738599701.0,The Matrix Reloaded
Tim Johnson,26288320.0,Sinbad: Legend of the Seven Seas
Patrick Gilmore,26288320.0,Sinbad: Legend of the Seven Seas
