actor,revenue,title
John Francis Daley,104384188.0,Vacation
Libby Blanton,104384188.0,Vacation
Rick Ericson,104384188.0,Vacation
Omar Lagudali,104384188.0,Vacation
Cameron McIntyre,104384188.0,Vacation
Hunter Denoyelles,104384188.0,Vacation
Mena Suvari,45000.0,The Opposite Sex
Eric Roberts,45000.0,The Opposite Sex
Kristin Chenoweth,45000.0,The Opposite Sex
Dana Ashbrook,45000.0,The Opposite Sex
Kenan Thompson,45000.0,The Opposite Sex
Jennifer Finnigan,45000.0,The Opposite Sex
Danielle Guldin,45000.0,The Opposite Sex
Cassidy Gifford,42664410.0,The Gallows
Ryan Shoos,42664410.0,The Gallows
Pfeifer Brown,42664410.0,The Gallows
Reese Mishler,42664410.0,The Gallows
Price T. Morgan,42664410.0,The Gallows
Mackie Burt,42664410.0,The Gallows
Travis Cluff,42664410.0,The Gallows
Melissa Bratton,42664410.0,The Gallows
Theo Burkhardt,42664410.0,The Gallows
David Herrera,42664410.0,The Gallows
Alexa Benson,42664410.0,The Gallows
David Thewlis,5659286.0,Anomalisa
Jennifer Jason Leigh,5659286.0,Anomalisa
Tom Noonan,5659286.0,Anomalisa
Josh Brolin,63647656.0,"Hail, Caesar!"
George Clooney,63647656.0,"Hail, Caesar!"
Alden Ehrenreich,63647656.0,"Hail, Caesar!"
Ralph Fiennes,63647656.0,"Hail, Caesar!"
Scarlett Johansson,63647656.0,"Hail, Caesar!"
Tilda Swinton,63647656.0,"Hail, Caesar!"
Channing Tatum,63647656.0,"Hail, Caesar!"
Frances McDormand,63647656.0,"Hail, Caesar!"
Jonah Hill,63647656.0,"Hail, Caesar!"
Veronica Osorio,63647656.0,"Hail, Caesar!"
Heather Goldenhersh,63647656.0,"Hail, Caesar!"
Alison Pill,63647656.0,"Hail, Caesar!"
Max Baker,63647656.0,"Hail, Caesar!"
Fisher Stevens,63647656.0,"Hail, Caesar!"
Patrick Fischler,63647656.0,"Hail, Caesar!"
Tom Musgrave,63647656.0,"Hail, Caesar!"
David Krumholtz,63647656.0,"Hail, Caesar!"
Greg Baldwin,63647656.0,"Hail, Caesar!"
Patrick Carroll,63647656.0,"Hail, Caesar!"
Fred Melamed,63647656.0,"Hail, Caesar!"
John Bluthal,63647656.0,"Hail, Caesar!"
Alex Karpovsky,63647656.0,"Hail, Caesar!"
Armazd Stepanian,63647656.0,"Hail, Caesar!"
Allan Havey,63647656.0,"Hail, Caesar!"
Robert Pike Daniel,63647656.0,"Hail, Caesar!"
Robert Picardo,63647656.0,"Hail, Caesar!"
Ian Blackman,63647656.0,"Hail, Caesar!"
Geoffrey Cantor,63647656.0,"Hail, Caesar!"
Christopher Lambert,63647656.0,"Hail, Caesar!"
Robert Trebor,63647656.0,"Hail, Caesar!"
Michael Yama,63647656.0,"Hail, Caesar!"
Ming Zhao,63647656.0,"Hail, Caesar!"
Helen Siff,63647656.0,"Hail, Caesar!"
Basil Hoffman,63647656.0,"Hail, Caesar!"
Luke Spencer Roberts,63647656.0,"Hail, Caesar!"
Ralph P. Martin,63647656.0,"Hail, Caesar!"
James Austin Johnson,63647656.0,"Hail, Caesar!"
Noah Baron,63647656.0,"Hail, Caesar!"
Timm Perry,63647656.0,"Hail, Caesar!"
Noel Conlon,63647656.0,"Hail, Caesar!"
Natasha Bassett,63647656.0,"Hail, Caesar!"
Richard Abraham,63647656.0,"Hail, Caesar!"
Jon Daly,63647656.0,"Hail, Caesar!"
Dennis Cockrum,63647656.0,"Hail, Caesar!"
Clancy Brown,63647656.0,"Hail, Caesar!"
Mather Zickel,63647656.0,"Hail, Caesar!"
Tiffany Lonsdale,63647656.0,"Hail, Caesar!"
Clement von Franckenstein,63647656.0,"Hail, Caesar!"
Wayne Knight,63647656.0,"Hail, Caesar!"
Jeff Lewis,63647656.0,"Hail, Caesar!"
Kyle Bornheimer,63647656.0,"Hail, Caesar!"
Josh Cooke,63647656.0,"Hail, Caesar!"
Peter Jason,63647656.0,"Hail, Caesar!"
Stephen Ellis,63647656.0,"Hail, Caesar!"
Jillian Armenante,63647656.0,"Hail, Caesar!"
Jacob Witkin,63647656.0,"Hail, Caesar!"
Jack Huston,63647656.0,"Hail, Caesar!"
Agyness Deyn,63647656.0,"Hail, Caesar!"
Emily Beecham,63647656.0,"Hail, Caesar!"
Benjamin Beatty,63647656.0,"Hail, Caesar!"
J.R. Horne,63647656.0,"Hail, Caesar!"
Caitlin Muelder,63647656.0,"Hail, Caesar!"
E.E. Bell,63647656.0,"Hail, Caesar!"
Kate Morgan Chadwick,63647656.0,"Hail, Caesar!"
Brian Jones,63647656.0,"Hail, Caesar!"
Peter Banifaz,63647656.0,"Hail, Caesar!"
Clifton Samuels,63647656.0,"Hail, Caesar!"
K.C. Reischerl,63647656.0,"Hail, Caesar!"
Jeremy Davis,63647656.0,"Hail, Caesar!"
Marcos Ochoa,63647656.0,"Hail, Caesar!"
Colin Bradbury,63647656.0,"Hail, Caesar!"
Ryan Breslin,63647656.0,"Hail, Caesar!"
Tyler Hanes,63647656.0,"Hail, Caesar!"
Casey Garvin,63647656.0,"Hail, Caesar!"
Luke Hawkins,63647656.0,"Hail, Caesar!"
Evan Kasprzak,63647656.0,"Hail, Caesar!"
Patrick Lavallee,63647656.0,"Hail, Caesar!"
Adam Perry,63647656.0,"Hail, Caesar!"
Ryan Vandenboom,63647656.0,"Hail, Caesar!"
Alex Demkin,63647656.0,"Hail, Caesar!"
Dax Hock,63647656.0,"Hail, Caesar!"
Shesha Marvin,63647656.0,"Hail, Caesar!"
Mark Stuart,63647656.0,"Hail, Caesar!"
Forrest Walsh,63647656.0,"Hail, Caesar!"
Michael Gambon,63647656.0,"Hail, Caesar!"
Tomoko Karina,63647656.0,"Hail, Caesar!"
Dolph Lundgren,63647656.0,"Hail, Caesar!"
Jack Black,521170825.0,Kung Fu Panda 3
Bryan Cranston,521170825.0,Kung Fu Panda 3
Dustin Hoffman,521170825.0,Kung Fu Panda 3
Angelina Jolie,521170825.0,Kung Fu Panda 3
J.K. Simmons,521170825.0,Kung Fu Panda 3
Jackie Chan,521170825.0,Kung Fu Panda 3
Seth Rogen,521170825.0,Kung Fu Panda 3
Lucy Liu,521170825.0,Kung Fu Panda 3
David Cross,521170825.0,Kung Fu Panda 3
Kate Hudson,521170825.0,Kung Fu Panda 3
James Hong,521170825.0,Kung Fu Panda 3
Randall Duk Kim,521170825.0,Kung Fu Panda 3
Steele Gagnon,521170825.0,Kung Fu Panda 3
Liam Knight,521170825.0,Kung Fu Panda 3
Wayne Knight,521170825.0,Kung Fu Panda 3
Barbara Dirickson,521170825.0,Kung Fu Panda 3
Al Roker,521170825.0,Kung Fu Panda 3
Willie Geist,521170825.0,Kung Fu Panda 3
Fred Tatasciore,521170825.0,Kung Fu Panda 3
Pax Jolie-Pitt,521170825.0,Kung Fu Panda 3
Kelly Cooney,521170825.0,Kung Fu Panda 3
Stephen Kearin,521170825.0,Kung Fu Panda 3
Mick Wingert,521170825.0,Kung Fu Panda 3
Ming Tsai,521170825.0,Kung Fu Panda 3
April Hong,521170825.0,Kung Fu Panda 3
Knox Jolie-Pitt,521170825.0,Kung Fu Panda 3
Zahara Jolie-Pitt,521170825.0,Kung Fu Panda 3
Shiloh Jolie-Pitt,521170825.0,Kung Fu Panda 3
Jean-Claude Van Damme,521170825.0,Kung Fu Panda 3
Radzi Chinyanganya,521170825.0,Kung Fu Panda 3
Lindsey Russell,521170825.0,Kung Fu Panda 3
Joseph Izzo,521170825.0,Kung Fu Panda 3
Lena Golia,521170825.0,Kung Fu Panda 3
Gus Culligan,521170825.0,Kung Fu Panda 3
C. Thomas Howell,14394097.0,Woodlawn
Sean Astin,14394097.0,Woodlawn
Jon Voight,14394097.0,Woodlawn
Virginia Williams,14394097.0,Woodlawn
Brando Eaton,14394097.0,Woodlawn
Sherri Shepherd,14394097.0,Woodlawn
Nic Bishop,14394097.0,Woodlawn
Caleb Castille,14394097.0,Woodlawn
Kelly Greyson,14394097.0,Woodlawn
Rhoda Griffis,14394097.0,Woodlawn
Marcus Henderson,14394097.0,Woodlawn
Joy Brunson,14394097.0,Woodlawn
Lance E. Nichols,14394097.0,Woodlawn
Kevin Sizemore,14394097.0,Woodlawn
DeVon Franklin,14394097.0,Woodlawn
Brett Rice,14394097.0,Woodlawn
Richard Kohnke,14394097.0,Woodlawn
Jet Jurgensmeyer,14394097.0,Woodlawn
Kirk B.R. Woller,14394097.0,Woodlawn
Blake Burgess,14394097.0,Woodlawn
Danny Vinson,14394097.0,Woodlawn
Vernard 'Bone' Hampton,14394097.0,Woodlawn
Kevin Downes,14394097.0,Woodlawn
Harry Alexander,14394097.0,Woodlawn
Kristi Averette,14394097.0,Woodlawn
Devin Bright,14394097.0,Woodlawn
Jason Burkey,14394097.0,Woodlawn
Carlton Byrd,14394097.0,Woodlawn
Peter Charnock,14394097.0,Woodlawn
Matthew T. Cook,14394097.0,Woodlawn
Xavier DuPriest,14394097.0,Woodlawn
Michael Entrekin,14394097.0,Woodlawn
Ron Flagge,14394097.0,Woodlawn
Jeremy Grimsley,14394097.0,Woodlawn
Corey Hodge,14394097.0,Woodlawn
Tyrell Humphries,14394097.0,Woodlawn
Justin Johnston,14394097.0,Woodlawn
Walker Morgan Kendrick,14394097.0,Woodlawn
David Kloehr,14394097.0,Woodlawn
Jeff Kruse,14394097.0,Woodlawn
Kelly Layne,14394097.0,Woodlawn
Keith Loy,14394097.0,Woodlawn
David Manne,14394097.0,Woodlawn
Doug Markstrom,14394097.0,Woodlawn
Tom Mullins,14394097.0,Woodlawn
Justin O'Neal,14394097.0,Woodlawn
Mabel Normand,8000000.0,Mickey
George Nichols,8000000.0,Mickey
Wheeler Oakman,8000000.0,Mickey
Minta Durfee,8000000.0,Mickey
Laura La Varnie,8000000.0,Mickey
Lew Cody,8000000.0,Mickey
